iris_code,iris_name,zone,observed_prix_m2,value_trap_score,alpha_score
930070114,Iris 12,PetiteCouronne,3928.0,66.0,49.9
773830000,Rampillon (commune non irisée),GrandeCouronne,2153.5,74.8,49.8
781580113,Porte Saint-Antoine,GrandeCouronne,3000.5,78.9,49.8
953060104,La Patte-d'Oie-Les Copistes,GrandeCouronne,3928.0,67.8,49.8
930140105,Iris 4,PetiteCouronne,3227.0,71.3,49.8
910270106,Quartier 6,GrandeCouronne,3050.0,73.1,49.8
772720000,Maison-Rouge (commune non irisée),GrandeCouronne,1979.0,73.7,49.7
930661001,Delaunay Belleville 01,PetiteCouronne,3330.0,76.9,49.7
785450106,Quartier 6,GrandeCouronne,4200.0,66.0,49.7
915730105,Iris 5,GrandeCouronne,3324.5,62.3,49.7
771100000,Chenou (commune non irisée),GrandeCouronne,1931.5,90.5,49.7
950880000,Bonneuil-en-France (commune non irisée),GrandeCouronne,3554.5,72.5,49.7
771970000,Frétoy (commune non irisée),GrandeCouronne,1994.0,85.3,49.6
911310000,Chalou-Moulineux (commune non irisée),GrandeCouronne,2394.0,75.1,49.6
940220108,Centre II,PetiteCouronne,3706.0,69.0,49.6
930480404,La Noue-Clos Français-Guilands 4,PetiteCouronne,4690.0,75.0,49.6
955820102,Le Moulin,GrandeCouronne,3403.5,64.4,49.5
774680203,Raimu-Hugo-Beaudelaire,GrandeCouronne,3491.0,71.5,49.4
772240000,Hautefeuille (commune non irisée),GrandeCouronne,2886.0,76.2,49.4
783200000,Notre-Dame-de-la-Mer (commune non irisée),GrandeCouronne,2448.0,75.8,49.4
940040104,Savreau,PetiteCouronne,3530.5,71.4,49.3
772560000,Lizines (commune non irisée),GrandeCouronne,1750.0,78.8,49.3
912440000,Fontenay-le-Vicomte (commune non irisée),GrandeCouronne,3434.0,64.2,49.3
781640000,Clairefontaine-en-Yvelines (commune non irisée),GrandeCouronne,3729.0,62.0,49.2
954240303,Frances-Copistes 3,GrandeCouronne,4570.0,62.1,49.2
771310102,Ville Haute Sud,GrandeCouronne,2844.0,85.9,49.2
910790000,Boissy-la-Rivière (commune non irisée),GrandeCouronne,2399.0,86.1,49.2
940710110,Berges-Noyers-Poil Vert,PetiteCouronne,3810.0,71.9,49.1
